entidad_id,entidad_nombre,sexo,grupo_edad,total
13,Hidalgo,Hombres,Adultos (36-59),153
13,Hidalgo,Hombres,Adultos mayores (60+),39
13,Hidalgo,Hombres,Infancias (0-9),36
13,Hidalgo,Hombres,Jóvenes (20-35),210
13,Hidalgo,Mujeres,Adolescentes (10-19),266
13,Hidalgo,Mujeres,Adultos (36-59),58
13,Hidalgo,Mujeres,Adultos mayores (60+),16
13,Hidalgo,Mujeres,Infancias (0-9),32
13,Hidalgo,Mujeres,Jóvenes (20-35),143
14,Jalisco,Hombres,Adolescentes (10-19),26
14,Jalisco,Hombres,Adultos (36-59),43
14,Jalisco,Hombres,Adultos mayores (60+),11
14,Jalisco,Hombres,Infancias (0-9),1
14,Jalisco,Hombres,Jóvenes (20-35),98
14,Jalisco,Mujeres,Adolescentes (10-19),6
14,Jalisco,Mujeres,Adultos (36-59),7
14,Jalisco,Mujeres,Adultos mayores (60+),0
14,Jalisco,Mujeres,Infancias (0-9),0
14,Jalisco,Mujeres,Jóvenes (20-35),14
15,Estado De Mexico,Hombres,Adolescentes (10-19),755
15,Estado De Mexico,Hombres,Adultos (36-59),826
15,Estado De Mexico,Hombres,Adultos mayores (60+),312
15,Estado De Mexico,Hombres,Infancias (0-9),336
15,Estado De Mexico,Hombres,Jóvenes (20-35),1164
15,Estado De Mexico,Mujeres,Adolescentes (10-19),1498
15,Estado De Mexico,Mujeres,Adultos (36-59),279
15,Estado De Mexico,Mujeres,Adultos mayores (60+),102
15,Estado De Mexico,Mujeres,Infancias (0-9),337
15,Estado De Mexico,Mujeres,Jóvenes (20-35),618
16,Michoacan,Hombres,Adolescentes (10-19),133
16,Michoacan,Hombres,Adultos (36-59),363
16,Michoacan,Hombres,Adultos mayores (60+),52
16,Michoacan,Hombres,Infancias (0-9),20
16,Michoacan,Hombres,Jóvenes (20-35),524
16,Michoacan,Mujeres,Adolescentes (10-19),126
16,Michoacan,Mujeres,Adultos (36-59),62
16,Michoacan,Mujeres,Adultos mayores (60+),11
16,Michoacan,Mujeres,Infancias (0-9),28
16,Michoacan,Mujeres,Jóvenes (20-35),110
17,Morelos,Hombres,Adolescentes (10-19),84
17,Morelos,Hombres,Adultos (36-59),107
17,Morelos,Hombres,Adultos mayores (60+),28
17,Morelos,Hombres,Infancias (0-9),39
17,Morelos,Hombres,Jóvenes (20-35),152
17,Morelos,Mujeres,Adolescentes (10-19),100
17,Morelos,Mujeres,Adultos (36-59),19
17,Morelos,Mujeres,Adultos mayores (60+),10
17,Morelos,Mujeres,Infancias (0-9),28
17,Morelos,Mujeres,Jóvenes (20-35),72
18,Nayarit,Hombres,Adolescentes (10-19),75
18,Nayarit,Hombres,Adultos (36-59),96
18,Nayarit,Hombres,Adultos mayores (60+),27
18,Nayarit,Hombres,Infancias (0-9),12
18,Nayarit,Hombres,Jóvenes (20-35),146
18,Nayarit,Mujeres,Adolescentes (10-19),126
18,Nayarit,Mujeres,Adultos (36-59),20
18,Nayarit,Mujeres,Adultos mayores (60+),3
18,Nayarit,Mujeres,Infancias (0-9),5
18,Nayarit,Mujeres,Jóvenes (20-35),47
19,Nuevo Leon,Hombres,Adolescentes (10-19),346
19,Nuevo Leon,Hombres,Adultos (36-59),525
19,Nuevo Leon,Hombres,Adultos mayores (60+),149
19,Nuevo Leon,Hombres,Infancias (0-9),54
19,Nuevo Leon,Hombres,Jóvenes (20-35),737
19,Nuevo Leon,Mujeres,Adolescentes (10-19),659
19,Nuevo Leon,Mujeres,Adultos (36-59),146
19,Nuevo Leon,Mujeres,Adultos mayores (60+),37
19,Nuevo Leon,Mujeres,Infancias (0-9),61
19,Nuevo Leon,Mujeres,Jóvenes (20-35),308
20,Oaxaca,Hombres,Adolescentes (10-19),9
20,Oaxaca,Hombres,Adultos (36-59),20
20,Oaxaca,Hombres,Adultos mayores (60+),5
20,Oaxaca,Hombres,Infancias (0-9),1
20,Oaxaca,Hombres,Jóvenes (20-35),28
20,Oaxaca,Mujeres,Adolescentes (10-19),9
20,Oaxaca,Mujeres,Adultos (36-59),7
20,Oaxaca,Mujeres,Adultos mayores (60+),0
20,Oaxaca,Mujeres,Infancias (0-9),1
20,Oaxaca,Mujeres,Jóvenes (20-35),7
21,Puebla,Hombres,Adolescentes (10-19),244
21,Puebla,Hombres,Adultos (36-59),289
21,Puebla,Hombres,Adultos mayores (60+),116
21,Puebla,Hombres,Infancias (0-9),108
21,Puebla,Hombres,Jóvenes (20-35),433
21,Puebla,Mujeres,Adolescentes (10-19),570
21,Puebla,Mujeres,Adultos (36-59),93
21,Puebla,Mujeres,Adultos mayores (60+),38
21,Puebla,Mujeres,Infancias (0-9),125
21,Puebla,Mujeres,Jóvenes (20-35),282
22,Queretaro,Hombres,Adolescentes (10-19),44
22,Queretaro,Hombres,Adultos (36-59),60
22,Queretaro,Hombres,Adultos mayores (60+),21
22,Queretaro,Hombres,Infancias (0-9),5
22,Queretaro,Hombres,Jóvenes (20-35),94
22,Queretaro,Mujeres,Adolescentes (10-19),52
22,Queretaro,Mujeres,Adultos (36-59),21
22,Queretaro,Mujeres,Adultos mayores (60+),3
22,Queretaro,Mujeres,Infancias (0-9),7
22,Queretaro,Mujeres,Jóvenes (20-35),37
23,Quintana Roo,Hombres,Adolescentes (10-19),99
23,Quintana Roo,Hombres,Adultos (36-59),150
23,Quintana Roo,Hombres,Adultos mayores (60+),32
23,Quintana Roo,Hombres,Infancias (0-9),7
23,Quintana Roo,Hombres,Jóvenes (20-35),225
23,Quintana Roo,Mujeres,Adolescentes (10-19),205
23,Quintana Roo,Mujeres,Adultos (36-59),32
23,Quintana Roo,Mujeres,Adultos mayores (60+),8
23,Quintana Roo,Mujeres,Infancias (0-9),7
23,Quintana Roo,Mujeres,Jóvenes (20-35),64
24,San Luis Potosi,Hombres,Adolescentes (10-19),71
24,San Luis Potosi,Hombres,Adultos (36-59),87
24,San Luis Potosi,Hombres,Adultos mayores (60+),46
24,San Luis Potosi,Hombres,Infancias (0-9),17
24,San Luis Potosi,Hombres,Jóvenes (20-35),150
24,San Luis Potosi,Mujeres,Adolescentes (10-19),126
24,San Luis Potosi,Mujeres,Adultos (36-59),27
24,San Luis Potosi,Mujeres,Adultos mayores (60+),6
24,San Luis Potosi,Mujeres,Infancias (0-9),17
24,San Luis Potosi,Mujeres,Jóvenes (20-35),50
25,Sinaloa,Hombres,Adolescentes (10-19),124
25,Sinaloa,Hombres,Adultos (36-59),392
25,Sinaloa,Hombres,Adultos mayores (60+),51
25,Sinaloa,Hombres,Infancias (0-9),9
25,Sinaloa,Hombres,Jóvenes (20-35),634
25,Sinaloa,Mujeres,Adolescentes (10-19),75
25,Sinaloa,Mujeres,Adultos (36-59),46
25,Sinaloa,Mujeres,Adultos mayores (60+),6
25,Sinaloa,Mujeres,Infancias (0-9),1
25,Sinaloa,Mujeres,Jóvenes (20-35),68
