entidad_id,sexo,grupo_edad,total
17,Mujeres,Adolescentes (10-19),100
17,Hombres,Adultos (36-59),107
17,Mujeres,Adultos (36-59),19
17,Hombres,Adultos mayores (60+),28
17,Mujeres,Adultos mayores (60+),10
17,Hombres,Infancias (0-9),39
17,Mujeres,Infancias (0-9),28
17,Hombres,Jóvenes (20-35),152
17,Mujeres,Jóvenes (20-35),72
18,Hombres,Adolescentes (10-19),75
18,Mujeres,Adolescentes (10-19),126
18,Hombres,Adultos (36-59),96
18,Mujeres,Adultos (36-59),20
18,Hombres,Adultos mayores (60+),27
18,Mujeres,Adultos mayores (60+),3
18,Hombres,Infancias (0-9),12
18,Mujeres,Infancias (0-9),5
18,Hombres,Jóvenes (20-35),146
18,Mujeres,Jóvenes (20-35),47
19,Hombres,Adolescentes (10-19),346
19,Mujeres,Adolescentes (10-19),659
19,Hombres,Adultos (36-59),525
19,Mujeres,Adultos (36-59),146
19,Hombres,Adultos mayores (60+),149
19,Mujeres,Adultos mayores (60+),37
19,Hombres,Infancias (0-9),54
19,Mujeres,Infancias (0-9),61
19,Hombres,Jóvenes (20-35),737
19,Mujeres,Jóvenes (20-35),308
20,Hombres,Adolescentes (10-19),9
20,Mujeres,Adolescentes (10-19),9
20,Hombres,Adultos (36-59),20
20,Mujeres,Adultos (36-59),7
20,Hombres,Adultos mayores (60+),5
20,Mujeres,Adultos mayores (60+),0
20,Hombres,Infancias (0-9),1
20,Mujeres,Infancias (0-9),1
20,Hombres,Jóvenes (20-35),28
20,Mujeres,Jóvenes (20-35),7
21,Hombres,Adolescentes (10-19),244
21,Mujeres,Adolescentes (10-19),570
21,Hombres,Adultos (36-59),289
21,Mujeres,Adultos (36-59),93
21,Hombres,Adultos mayores (60+),116
21,Mujeres,Adultos mayores (60+),38
21,Hombres,Infancias (0-9),108
21,Mujeres,Infancias (0-9),125
21,Hombres,Jóvenes (20-35),433
21,Mujeres,Jóvenes (20-35),282
22,Hombres,Adolescentes (10-19),44
22,Mujeres,Adolescentes (10-19),52
22,Hombres,Adultos (36-59),60
22,Mujeres,Adultos (36-59),21
22,Hombres,Adultos mayores (60+),21
22,Mujeres,Adultos mayores (60+),3
22,Hombres,Infancias (0-9),5
22,Mujeres,Infancias (0-9),7
22,Hombres,Jóvenes (20-35),94
22,Mujeres,Jóvenes (20-35),37
23,Hombres,Adolescentes (10-19),99
23,Mujeres,Adolescentes (10-19),205
23,Hombres,Adultos (36-59),150
23,Mujeres,Adultos (36-59),32
23,Hombres,Adultos mayores (60+),32
23,Mujeres,Adultos mayores (60+),8
23,Hombres,Infancias (0-9),7
23,Mujeres,Infancias (0-9),7
23,Hombres,Jóvenes (20-35),225
23,Mujeres,Jóvenes (20-35),64
24,Hombres,Adolescentes (10-19),71
24,Mujeres,Adolescentes (10-19),126
24,Hombres,Adultos (36-59),87
24,Mujeres,Adultos (36-59),27
24,Hombres,Adultos mayores (60+),46
24,Mujeres,Adultos mayores (60+),6
24,Hombres,Infancias (0-9),17
24,Mujeres,Infancias (0-9),17
24,Hombres,Jóvenes (20-35),150
24,Mujeres,Jóvenes (20-35),50
25,Hombres,Adolescentes (10-19),124
25,Mujeres,Adolescentes (10-19),75
25,Hombres,Adultos (36-59),392
25,Mujeres,Adultos (36-59),46
25,Hombres,Adultos mayores (60+),51
25,Mujeres,Adultos mayores (60+),6
25,Hombres,Infancias (0-9),9
25,Mujeres,Infancias (0-9),1
25,Hombres,Jóvenes (20-35),634
25,Mujeres,Jóvenes (20-35),68
26,Hombres,Adolescentes (10-19),210
26,Mujeres,Adolescentes (10-19),148
26,Hombres,Adultos (36-59),381
26,Mujeres,Adultos (36-59),61
26,Hombres,Adultos mayores (60+),59
26,Mujeres,Adultos mayores (60+),10
26,Hombres,Infancias (0-9),20
26,Mujeres,Infancias (0-9),10
26,Hombres,Jóvenes (20-35),577
